Brand,Perfume,Gender,Rating Value,Rating Count,Year,Main Accords,Top,Middle,Base,Perfumer1,url
Afnan,9am,women,75,174,,"['Citrus', 'Musky', 'Woody', 'Aromatic', 'Warm Spicy']","['Lemon', 'Mandarin Orange', 'Cardamom', 'Pink Pepper']","['Lavender', 'Green Apple', 'Orange Blossom', 'Rose']","['Musk', 'Moss', 'Cedar', 'Patchouli']",,https://www.fragrantica.com/perfume/Afnan/9am-70706.html
Afnan,9am Dive,unisex,86,842,2022.0,"['Fruity', 'Woody', 'Green', 'Warm Spicy', 'Aromatic']","['Lemon', 'Mint', 'Black Currant', 'Pink Pepper']","['Apple', 'Incense', 'Cedar']","['Ginger', 'Sandalwood', 'Patchouli', 'Jasmine']",,https://www.fragrantica.com/perfume/Afnan/9am-Dive-78611.html
Afnan,9am pour Femme,women,80,68,2022.0,"['Fruity', 'Musky', 'Amber', 'Citrus', 'Powdery']","['Mandarin Orange', 'Grapefruit', 'Bergamot']","['Raspberry', 'Black Currant']","['Musk', 'Amber', 'Orange']",,https://www.fragrantica.com/perfume/Afnan/9am-pour-Femme-78541.html
Afnan,9pm,men,90,"6,865",2020.0,"['Vanilla', 'Amber', 'Warm Spicy', 'Cinnamon', 'Sweet']","['Apple', 'Cinnamon', 'Wild Lavender', 'Bergamot']","['Orange Blossom', 'Lily-Of-The-Valley']","['Vanilla', 'Tonka Bean', 'Amber', 'Patchouli']",,https://www.fragrantica.com/perfume/Afnan/9pm-65414.html
Afnan,9pm pour Femme,women,70,63,2022.0,"['Woody', 'Aromatic', 'Rose', 'Fruity', 'Powdery']","['Raspberry', 'Violet', 'Apple', 'Orange']","['Rose', 'Iris', 'Peony', 'Jasmine']","['Cypress', 'Pine', 'Cedar', 'Amber']",,https://www.fragrantica.com/perfume/Afnan/9pm-pour-Femme-78544.html
Afnan,Naseej Al Kiswah,unisex,67,3,2021.0,"['Woody', 'Amber', 'Leather', 'Oud', 'Patchouli']","['Patchouli', 'Tonka Bean', 'Amber']","['Woodsy Notes', 'Cedar']","['Amber', 'Leather', 'Agarwood (Oud)']",,https://www.fragrantica.com/perfume/Afnan/Naseej-Al-Kiswah-78627.html
Afnan,Naseej Al Oud,unisex,90,4,2021.0,"['Oud', 'Leather', 'Woody', 'Amber', 'Soft Spicy']","['Agarwood (Oud)', 'Pink Pepper', 'Bergamot', 'Saffron']","['Woodsy Notes', 'Rose', 'Jasmine', 'Orris']","['Agarwood (Oud)', 'Leather', 'Amber']",,https://www.fragrantica.com/perfume/Afnan/Naseej-Al-Oud-78623.html
Afnan,Naseej Al Ward,unisex,73,3,2021.0,"['Rose', 'Oud', 'Fruity', 'Musky', 'Sweet']","['Rose', 'Raspberry', 'Saffron']","['Agarwood (Oud)', 'Patchouli']","['Rose', 'Musk', 'Cedar']",,https://www.fragrantica.com/perfume/Afnan/Naseej-Al-Ward-78624.html
Afnan,Naseej Al Zafaran,unisex,92,5,2021.0,"['Warm Spicy', 'Metallic', 'Leather', 'Fresh Spicy', 'Woody']","['Saffron', 'Black Pepper', 'Cardamom']","['Cedar', 'Agarwood (Oud)', 'Rose']","['Vetiver', 'Sweet Notes']",,https://www.fragrantica.com/perfume/Afnan/Naseej-Al-Zafaran-78625.html
Afnan,Afzal Abeer,women,,,,[],[],[],[],,https://www.fragrantica.com/perfume/Afnan/Afzal-Abeer-27378.html
Al Haramain Perfumes,Black Oudh,unisex,82,113,,"['Woody', 'Powdery', 'Musky', 'Amber', 'Patchouli']",[],"['Cedar', 'Herbal Notes']","['Amber', 'Patchouli', 'Vanilla']",,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Black-Oudh-36596.html
Al Haramain Perfumes,Black Stone,unisex,78,25,,"['White Floral', 'Musky', 'Tuberose', 'Green', 'Fresh']","['Agarwood (Oud)', 'Labdanum', 'Pine Tree Needles']","['Lily-Of-The-Valley', 'Tuberose', 'Jasmine']",[],,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Black-Stone-48231.html
Al Haramain Perfumes,Bloom,women,75,55,,"['Oud', 'Musky', 'Rose', 'Floral', 'Powdery']",[],[],[],,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Bloom-19864.html
Al Haramain Perfumes,Blue Sugar,unisex,90,4,2016.0,"['Sweet', 'Vanilla', 'Citrus', 'Coconut', 'Lactonic']",[],[],[],,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Blue-Sugar-42717.html
Al Haramain Perfumes,Dhahab,unisex,88,88,,"['Caramel', 'Vanilla', 'Sweet', 'Citrus', 'Powdery']","['Orange', 'Bergamot']","['Caramel', 'Cedar']","['Vanilla', 'Musk']",,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Dhahab-53174.html
Al Haramain Perfumes,Dubai Tower,unisex,72,10,,"['Vanilla', 'Oud', 'Rose', 'Woody', 'Powdery']",[],[],[],,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Dubai-Tower-26555.html
Al Haramain Perfumes,Ehsas,unisex,62,28,,"['Woody', 'Musky', 'Amber', 'White Floral', 'Powdery']","['Musk', 'Ambergris', 'Woody Notes', 'Rose', 'White Flowers', 'Citruses', 'Spicy Notes']","['Musk', 'Ambergris', 'Woody Notes', 'Aldehydes', 'Lily-Of-The-Valley', 'Sea Notes', 'Geranium', 'Artemisia']","['Musk', 'Ambergris', 'Rose', 'Sandalwood', 'Tonka Bean', 'Moss', 'Guaiac Wood']",,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Ehsas-26542.html
Al Haramain Perfumes,Entourage Rouge,unisex,78,16,,"['Woody', 'Fresh Spicy', 'Aromatic', 'Earthy', 'Mossy']","['Geranium', 'Bergamot']","['Tea', 'Smoke', 'Nutmeg']","['Moss', 'Vetiver', 'Patchouli', 'Cedar']",,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Entourage-Rouge-39348.html
Al Haramain Perfumes,Etoiles Silver,men,73,20,2022.0,"['Fresh Spicy', 'Woody', 'Citrus', 'Aromatic', 'Aquatic']","['Bergamot', 'Water Notes', 'Clary Sage', 'Green Apple']","['Nutmeg', 'Geranium', 'Lavender', 'Orange Blossom']","['Cedar', 'Moss', 'Ambergris', 'Musk']",,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Etoiles-Silver-78609.html
Al Haramain Perfumes,Friday,unisex,73,20,,"['Citrus', 'Floral', 'Amber', 'Lavender', 'Warm Spicy']",[],[],[],,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Friday-19809.html
Al Haramain Perfumes,Haneen,unisex,79,115,,"['Rose', 'Oud', 'Powdery', 'Woody', 'Amber']",[],[],[],,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Haneen-19810.html
Al Haramain Perfumes,Haramain Detour Eco,unisex,93,43,,"['Lavender', 'Citrus', 'Fresh Spicy', 'Aromatic', 'Oud']","['Lavender', 'Bergamot', 'Clary Sage']","['Saffron', 'Praline']","['Agarwood', 'Cedar']",,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Haramain-Detour-Eco-92657.html
Al Haramain Perfumes,Haramain Dubai,unisex,70,4,,[],[],[],[],,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Haramain-Dubai-53268.html
