Brand,Perfume,Gender,Rating Value,url,drop_reason
Al Haramain Perfumes,Musk Al Haramain,unisex,79.0,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Al-Haramain-19817.html,duplicate (earlier occurrence)
Al Haramain Perfumes,Shefon,unisex,82.0,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Shefon-44653.html,duplicate (earlier occurrence)
Al Haramain Perfumes,Maryam,women,64.0,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Maryam-19628.html,duplicate (earlier occurrence)
Al Haramain Perfumes,Mukhallath Seufi,women,87.0,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Mukhallath-Seufi-19606.html,duplicate (earlier occurrence)
Al Haramain Perfumes,Musk Maliki,unisex,86.0,https://www.fragrantica.com/perfume/Al-Haramain-Perfumes/Musk-Maliki-70385.html,duplicate (earlier occurrence)
Avon,Blue Lotus,women,80.0,https://www.fragrantica.com/perfume/Avon/Blue-Lotus-82192.html,duplicate (earlier occurrence)
Avon,Alpha,men,78.0,https://www.fragrantica.com/perfume/Avon/Alpha-33471.html,duplicate (earlier occurrence)
Avon,Attention,men,80.0,https://www.fragrantica.com/perfume/Avon/Attention-56336.html,duplicate (earlier occurrence)
Avon,Brazil Beat,women,68.0,https://www.fragrantica.com/perfume/Avon/Brazil-Beat-6067.html,duplicate (earlier occurrence)
Avon,Elegante,women,78.0,https://www.fragrantica.com/perfume/Avon/Elegante-73643.html,duplicate (earlier occurrence)
Avon,Everafter,women,82.0,https://www.fragrantica.com/perfume/Avon/Everafter-39955.html,duplicate (earlier occurrence)
Avon,Flor de Cerejeira,women,69.0,https://www.fragrantica.com/perfume/Avon/Flor-de-Cerejeira-44772.html,duplicate (earlier occurrence)
Avon,Life,women,83.0,https://www.fragrantica.com/perfume/Avon/Life-71762.html,duplicate (earlier occurrence)
Avon,Lucky Me Intense,men,71.0,https://www.fragrantica.com/perfume/Avon/Lucky-Me-Intense-63196.html,duplicate (earlier occurrence)
Avon,Midnight,men,82.0,https://www.fragrantica.com/perfume/Avon/Midnight-33444.html,duplicate (earlier occurrence)
Avon,Premiere Luxe,women,74.0,https://www.fragrantica.com/perfume/Avon/Premiere-Luxe-22208.html,duplicate (earlier occurrence)
Avon,Pretty Blue,women,93.0,https://www.fragrantica.com/perfume/Avon/Pretty-Blue-82235.html,duplicate (earlier occurrence)
Avon,Skin 2 Skin,women,70.0,https://www.fragrantica.com/perfume/Avon/Skin-2-Skin-48832.html,duplicate (earlier occurrence)
Avon,Stamina,women,69.0,https://www.fragrantica.com/perfume/Avon/Stamina-58620.html,duplicate (earlier occurrence)
Avon,Surrender,women,85.0,https://www.fragrantica.com/perfume/Avon/Surrender-1863.html,duplicate (earlier occurrence)
Avon,True Life,women,74.0,https://www.fragrantica.com/perfume/Avon/True-Life-24946.html,duplicate (earlier occurrence)
Avon,Attraction,women,78.0,https://www.fragrantica.com/perfume/Avon/Attraction-32307.html,duplicate (earlier occurrence)
Avon,Attraction Intense,women,79.0,https://www.fragrantica.com/perfume/Avon/Attraction-Intense-77319.html,duplicate (earlier occurrence)
Avon,Attraction Sensation,women,74.0,https://www.fragrantica.com/perfume/Avon/Attraction-Sensation-56754.html,duplicate (earlier occurrence)
Avon,Musk Air,men,73.0,https://www.fragrantica.com/perfume/Avon/Musk-Air-72042.html,duplicate (earlier occurrence)
Avon,Musk Fresh,men,74.0,https://www.fragrantica.com/perfume/Avon/Musk-Fresh-35596.html,duplicate (earlier occurrence)
Avon,Musk Intense,men,84.0,https://www.fragrantica.com/perfume/Avon/Musk-Intense-56745.html,duplicate (earlier occurrence)
Avon,Musk Marine,men,75.0,https://www.fragrantica.com/perfume/Avon/Musk-Marine-14323.html,duplicate (earlier occurrence)
Avon,Be Romantic,women,58.0,https://www.fragrantica.com/perfume/Avon/Be-Romantic-33187.html,duplicate (earlier occurrence)
Avon,Bluerush Paradise,women,78.0,https://www.fragrantica.com/perfume/Avon/Bluerush-Paradise-34496.html,duplicate (earlier occurrence)
Avon,Mesmerize Mystique Amber,women,76.0,https://www.fragrantica.com/perfume/Avon/Mesmerize-Mystique-Amber-60464.html,duplicate (earlier occurrence)
Avon,Perceive Soul,men,79.0,https://www.fragrantica.com/perfume/Avon/Perceive-Soul-51036.html,duplicate (earlier occurrence)
Avon,Today Tomorrow Always Celebrate,women,75.0,https://www.fragrantica.com/perfume/Avon/Today-Tomorrow-Always-Celebrate-56736.html,duplicate (earlier occurrence)
Avon,Today Tomorrow Always For Him,men,74.0,https://www.fragrantica.com/perfume/Avon/Today-Tomorrow-Always-For-Him-33985.html,duplicate (earlier occurrence)
Avon,Wild Country,men,74.0,https://www.fragrantica.com/perfume/Avon/Wild-Country-2312.html,duplicate (earlier occurrence)
Bath Body Works,A Thousand Wishes,women,82.0,https://www.fragrantica.com/perfume/Bath-Body-Works/A-Thousand-Wishes-28523.html,duplicate (earlier occurrence)
Bath Body Works,After Dark,men,86.0,https://www.fragrantica.com/perfume/Bath-Body-Works/After-Dark-78837.html,duplicate (earlier occurrence)
Bath Body Works,Among The Clouds,unisex,79.0,https://www.fragrantica.com/perfume/Bath-Body-Works/Among-The-Clouds-79861.html,duplicate (earlier occurrence)
